,count,unique,top,freq,first,last,mean,std,min,25%,50%,75%,max
F_Bout_URL,5123,5123,http://www.fightmetric.com/fight-details/144c4e65599288c3,1,,,,,,,,,
T_Bout_URL,5123,5123,https://www.tapology.com/fightcenter/bouts/23650-wec-51-mike-brown-vs-cole-province,1,,,,,,,,,
Event_Date,5123,479,2016-11-19 00:00:00,25,2008-01-19 00:00:00,2018-12-29 00:00:00,,,,,,,
FO,5092,3,Fighter_1,3373,,,,,,,,,
F1_URL,5123,1422,http://www.fightmetric.com/fighter-details/1d00756835ca67c9,28,,,,,,,,,
F1_T_ID,5123,1422,donald-cerrone-cowboy,28,,,,,,,,,
F1_BFO_URL,4644,1157,https://www.bestfightodds.com/fighters/Donald-Cerrone-220,28,,,,,,,,,
F2_URL,5123,1883,http://www.fightmetric.com/fighter-details/18968f97ad34f15c,18,,,,,,,,,
F2_T_ID,5123,1883,jeremy-stephens-lil-heathen,18,,,,,,,,,
F2_BFO_URL,4477,1438,https://www.bestfightodds.com/fighters/Jeremy-Stephens-210,18,,,,,,,,,
F1_DOB,5017,1211,1984-07-31 00:00:00,33,1961-12-13 00:00:00,1998-05-18 00:00:00,,,,,,,
FM_F2_5yr_T_SStr_PCT,3659.0,,,,,,0.43986875158147065,0.11787846324668923,0.0,0.37325566301032,0.43656207366984995,0.5005464116433652,1.0
FM_F2_5yr_T_SStr_A_VS,4883.0,,,,,,240.21544132705304,301.70347624444975,0.0,1.0,126.0,361.0,1998.0
FM_F2_5yr_T_SStr_L_VS,4883.0,,,,,,96.43231619905795,118.35512907928403,0.0,0.0,54.0,141.5,807.0
FM_F2_5yr_T_SStr_PCT_VS,3664.0,,,,,,0.42407075526238097,0.11963901828035699,0.0,0.35242188565970806,0.4148148148148148,0.4884164743475945,1.0
FM_F2_5yr_T_SStr_PCT_Def,3664.0,,,,,,0.575929244737619,0.11963901828035699,0.0,0.5115835256524055,0.5851851851851853,0.647578114340292,1.0
FM_F2_5yr_T_Str_A,4883.0,,,,,,331.1175506860537,407.4118856853426,0.0,0.0,182.0,503.0,2971.0
FM_F2_5yr_T_Str_L,4883.0,,,,,,174.86893303297154,214.03173549998377,0.0,0.0,99.0,264.5,1527.0
FM_F2_5yr_T_Str_PCT,3661.0,,,,,,0.5383183205004567,0.1322643436302001,0.0,0.4567901234567901,0.5353260869565217,0.6209677419354839,1.0
FM_F2_5yr_T_Str_A_VS,4883.0,,,,,,303.8996518533688,360.313737052656,0.0,1.0,173.0,461.5,2299.0
FM_F2_5yr_T_Str_L_VS,4883.0,,,,,,152.72230186360844,176.32313605520486,0.0,0.0,92.0,234.0,986.0
FM_F2_5yr_T_Str_PCT_VS,3664.0,,,,,,0.5239977939850281,0.136908883360369,0.0,0.43507211538461543,0.5198753139940038,0.6083045314900154,1.0
FM_F2_5yr_T_Str_PCT_Def,3664.0,,,,,,0.4760022060149719,0.13690888336036902,0.0,0.3916954685099846,0.4801246860059963,0.5649278846153846,1.0
FM_F2_5yr_T_TD_A,4883.0,,,,,,9.613557239402008,14.789675130895112,0.0,0.0,3.0,13.0,121.0
FM_F2_5yr_T_TD_L,4883.0,,,,,,4.053450747491296,6.453645403271907,0.0,0.0,1.0,5.0,52.0
FM_F2_5yr_T_TD_PCT,3213.0,,,,,,0.440987556228327,0.27391675723794073,0.0,0.2708333333333333,0.42857142857142855,0.5833333333333334,1.0
FM_F2_5yr_T_TD_A_VS,4883.0,,,,,,10.01556420233463,13.66585509499464,0.0,0.0,4.0,15.0,99.0
FM_F2_5yr_T_TD_L_VS,4883.0,,,,,,3.536964980544747,5.087197017884543,0.0,0.0,2.0,5.0,37.0
FM_F2_5yr_T_TD_PCT_VS,3286.0,,,,,,0.3934911924778781,0.2689469378726702,0.0,0.2,0.36363636363636365,0.5294117647058824,1.0
FM_F2_5yr_T_TD_PCT_Def,3286.0,,,,,,0.6065088075221219,0.2689469378726702,0.0,0.47058823529411764,0.6363636363636364,0.8,1.0
FM_F2_5yr_T_SUB_A,4883.0,,,,,,1.7407331558468155,3.077909829334469,0.0,0.0,0.0,2.0,27.0
FM_F2_5yr_T_Bout_Min,4883.0,,,,,,33.99010853983207,38.52969433248094,-5.329070518200751e-15,0.13333333333333353,19.41666666666667,52.78333333333333,220.41666666666663
FM_F2_5yr_T_SStr_A_pM,3667.0,,,,,,7.386111467773036,3.5831548461311926,0.0,5.1780321440858925,6.933333333333334,9.149887079519793,62.7272727272728
FM_F2_5yr_T_SStr_L_pM,3667.0,,,,,,3.231820357576561,1.8889290093007463,0.0,2.1739745011086473,3.0,4.0,30.000000000000036
FM_F2_5yr_T_SStr_A_pM_VS,3667.0,,,,,,6.981064964999793,3.4595954669751743,-0.0,4.841033566899642,6.533333333333333,8.600341296928327,81.42857142857144
FM_F2_5yr_T_SStr_L_pM_VS,3667.0,,,,,,2.9299067101163847,1.7839400348303978,0.0,1.93737002575533,2.7,3.592069442584906,47.14285714285715
FM_F2_5yr_T_Str_A_pM,3667.0,,,,,,9.581519324275554,3.822174156734166,0.0,7.2612991649136225,9.150227617602427,11.504574047529923,62.7272727272728
