F1_ID,Match_ID,Exact_ID,Close_ID,No_Match_DF1,No_Match_DF2,Name_Match,Dates_Match,F2_Match
42238-tom-duquesnoy-fire-kid,Tom-Duquesnoy-6254,,"Damien Rooney BAMMA 24: Kone vs. Phillips 2016-02-27
",,,1.0,1,1.0
47934-merab-dvalishvili,Merab-Dvalishvili-6415,,"Matt Tullos CES MMA 36: Andrews vs. Muro 2016-06-10
",,,1.0,1,0.99
18345-cody-east-the-freight-train,Cody-East-5221,,"Vernon Lewis Legacy FC 36: East vs. Lewis 2014-10-17
",,,1.0,1,1.0
marvin-eastman-the-beastman,Marvin-Eastman-214,,"Terry Martin UFC 81: Breaking Point 2008-02-02
",,,1.0,1,1.0
ross-ebanez-the-boss,Ross-Ebanez-476,,"Eddie Alvarez ShoXC: Elite Challenger Series 2008-01-25
",,"Keoni Bryant Icon Sport: Hard Times 2008-08-02
",1.0,1,1.0
brian-ebersole-bad-boy,Brian-Ebersole-1904,,"Carlos Newton Impact FC 1: The Uprising 2010-07-10
",,,1.0,1,0.99
mark-eddiva,Mark-Eddiva-4705,,"Jumabieke Tuerxun UFC: The Ultimate Fighter China Finale 2014-03-01
",,,1.0,1,0.95
james-edson-berto-little-tiger,James-Edson-Berto-493,,"Yves Edwards EliteXC: Street Certified 2008-02-16
",,,1.0,1,1.0
jhonny-eduardo,Johnny-Eduardo-2692,,"Raphael Assuncao UFC 134: Silva vs. Okami 2011-08-27
",,,1.0,1,0.99
carlos-eduardo-rocha-ta-danado,Carlos-Eduardo-Rocha-2100,,"Kris McCray UFC 122: Marquardt vs. Okami 2010-11-13
",,,0.83,1,1.0
per-eklund,Per-Eklund-395,,"Sam Stout UFC 80: Rapid Fire 2008-01-19
",,,1.0,1,1.0
darren-elkins,Darren-Elkins-1768,,"Duane Ludwig UFC on Versus 1: Vera vs. Jones 2010-03-21
",,,1.0,1,0.99
13664-timothy-elliot,Tim-Elliott-3288,,"John Dodson UFC on FOX 3: Diaz vs. Miller 2012-05-05
",,,0.85,1,1.0
eddy-ellis-fast,Eddy-Ellis-520,,"Steve Berger Strikeforce: Strikeforce At The Dome 2008-02-23
",,,1.0,1,1.0
lisa-ward,Lisa-Ellis-3306,"Jessica Penne Invicta FC 1 2012-04-28
","Felice Herrig UFC: The Ultimate Fighter 20 Finale 2014-12-12
",,,1.0,1,1.0
66455-anna-elmose,Anna-Elmose-5310,,"Emma Delaney Cage Warriors 74: Dalby vs. Bahari 2014-11-15
",,,1.0,1,1.0
rob-emerson-the-saint,Rob-Emerson-73,,"Gray Maynard UFC: The Ultimate Fighter 5 Finale 2007-06-23
",,"Lance Wipf Superior Cage Combat 1 2011-05-21
",1.0,1,1.0
51295-josh-emmett,Josh-Emmett-6405,,"Jon Tuck UFC Fight Night 87: Overeem vs. Arlovski 2016-05-08
",,,1.0,1,0.98
43843-oliver-enkamp,Oliver-Enkamp-3977,"Kari Paivinen IRFA 4 2013-03-09
","Nordine Taleb UFC Fight Night 109: Gustafsson vs. Teixeira 2017-05-28
",,,1.0,1,1.0
13889-Ian-Entwistle,Ian-Entwistle-2470,"Liam James Cage Warriors 62 2013-12-07
Brad Wheeler Cage Warriors 43 2011-07-09
Brad Wheeler Cage Warriors 41 2011-04-24
","Daniel Hooker UFC Fight Night 43: Te Huna vs. Marquardt 2014-06-28
",,,1.0,1,1.0
39662-konstantin-erokhin,Konstantin-Erokhin-5375,,"Viktor Pesta UFC on FOX 14: Gustafsson vs. Johnson 2015-01-24
",,,1.0,1,0.96
18497-julian-erosa,Julian-Erosa-6088,,"Marcin Wrzosek UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes 2015-12-11
",,,1.0,1,1.0
efrain-escudero-hecho-en-mexico,Efrain-Escudero-984,,"Phillipe Nover UFC: The Ultimate Fighter 8 Finale 2008-12-13
",,,1.0,1,0.99
carla-esparza,Carla-Esparza-2043,"Bec Hyatt Invicta FC 4 2013-01-05
Sarah Schneider Invicta FC 2 2012-07-28
","Bec Hyatt Invicta FC 4 2013-01-05
Sarah Schneider Invicta FC 2 2012-07-28
Megumi Fujii Bellator Fighting Championship 24 2010-08-12
",,,1.0,1,0.96
20241-jodie-esquibel,Jodie-Esquibel-3801,"Jinh Yu Frey Invicta FC 8 2014-09-06
Liz McCarthy Invicta FC 4 2013-01-05
","Jinh Yu Frey Invicta FC 8 2014-09-06
Alexandra Chambers Invicta FC 5: Penne vs. Waterson 2013-04-05
",,,1.0,1,0.98
