F1_ID,Match_ID,Exact_ID,Close_ID,No_Match_DF1,No_Match_DF2,Name_Match,Dates_Match,F2_Match
bd878a638e0e3be3,Angela-Magana-2011,," Michelle Waterson UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson 2015-07-12
",," Kanako Murata Rizin FF 12 2018-08-12
 Amanda Cooper UFC 218: Holloway vs. Aldo 2 2017-12-02
 Tecia Torres UFC: The Ultimate Fighter 20 Finale 2014-12-12
 Stephanie Eggink XFC 25: Boiling Point 2013-09-06
",1.0,1,1.0
84b3e7d38f2d2ec5,Neil-Magny-3807," Lorenz Larkin UFC 202: Diaz vs. McGregor 2 2016-08-20
"," Santiago Ponzinibbio UFC Fight Night 140: Magny vs. Ponzinibbio 2018-11-17
 Craig White UFC Fight Night 130: Thompson vs. Till 2018-05-27
 Rafael Dos Anjos UFC 215: Nunes vs. Shevchenko 2 2017-09-09
 Kelvin Gastelum UFC Fight Night 78: Magny vs. Gastelum 2015-11-21
 Erick Silva UFC Fight Night 74: Holloway vs. Oliveira 2015-08-23
 Kiichi Kunimoto UFC Fight Night 60: Henderson vs. Thatch 2015-02-14
 Alex Garcia UFC Fight Night 49: Henderson vs. Dos Anjos 2014-08-23
 Rodrigo Goiana De Lima UFC Fight Night 43: Te Huna vs. Marquardt 2014-06-28
 Tim Means UFC Fight Night 40: Brown vs. Silva 2014-05-10
 Gasan Umalatov UFC 169: Barao vs. Faber 2014-02-01
 Seth Baczynski UFC Fight Night 31: Fight For The Troops III 2013-11-06
",," Carlos Condit UFC 219: Cyborg vs. Holm 2017-12-30
 Johny Hendricks UFC 207: Nunes vs. Rousey 2016-12-30
 Hector Lombard UFC Fight Night 85: Hunt vs. Mir 2016-03-19
 Demian Maia UFC 190: Rousey vs. Correia 2015-08-01
 Hyun Gyu Lim UFC Fight Night 66: Edgar vs. Faber 2015-05-16
 William Macario UFC 179: Aldo vs. Mendes II 2014-10-25
 Sergio Moraes UFC 163: Aldo vs. Jung 2013-08-03
 Jon Manley UFC 157: Rousey vs. Carmouche 2013-02-23
",1.0,1,1.0
369e1ce458ef50a6,Ruslan-Magomedov-4879,," Josh Copeland UFC Fight Night 57: Edgar vs. Swanson 2014-11-22
",," Shawn Jordan UFC 192: Cormier vs. Gustafsson 2015-10-03
 Viktor Pesta UFC Fight Night 41: Munoz vs. Mousasi 2014-05-31
",1.0,1,1.0
87aa9fb63d6b51a1,Zabit-Magomedsharipov-7404," Brandon Davis UFC 228: Woodley vs. Till 2018-09-08
"," Kyle Bochniak UFC 223: Nurmagomedov vs. Iaquinta 2018-04-07
 Sheymon Moraes UFC Fight Night 122: Bisping vs. Gastelum 2017-11-25
",," Mike Santiago UFC Fight Night 115: Volkov vs. Struve 2017-09-02
",1.0,1,1.0
1a7745388839e52b,John-Maguire-2912,," Justin Edwards UFC 138: Leben vs. Munoz 2011-11-05
",," Tommy Depret Cage Warriors 89: Amoussou vs. Steele 2017-11-25
 Borys Mankowski KSW 37: Circus Of Pain 2016-12-03
 Brad Wheeler Cage Warriors 74: Dalby vs. Bahari 2014-11-15
 Damir Hadzovic Cage Warriors 66: Dalby vs. Churilov 2014-03-22
 Saul Rogers Cage Warriors 65: Maguire vs. Rogers 2014-03-01
 Philip Mulpeter Cage Warriors 63: Ray vs. Buchinger 2013-12-31
 Mitch Clarke UFC 161: Evans vs. Henderson 2013-06-15
 Matt Riddle UFC 154: St-Pierre vs. Condit 2012-11-17
 John Hathaway UFC on FUEL TV 5: Struve vs. Miocic 2012-09-29
 Damarques Johnson UFC on FUEL TV 2: Gustafsson vs. Silva 2012-04-14
",1.0,1,1.0
427b5953ac8e3a27,Demian-Maia-213," Dan Miller UFC 109: Relentless 2010-02-06
 Chael Sonnen UFC 95: Sanchez vs Stevenson 2009-02-21
 Nate Quarry UFC 91: Couture vs Lesnar 2008-11-15
 Jason Macdonald UFC 87: Seek And Destroy 2008-08-09
 Ed Herman UFC 83: Serra vs St-Pierre 2 2008-04-19
"," Kamaru Usman UFC Fight Night 129: Maia vs. Usman 2018-05-19
 Colby Covington UFC Fight Night 119: Machida vs. Brunson 2017-10-28
 Jorge Masvidal UFC 211: Miocic vs. Dos Santos 2 2017-05-13
 Carlos Condit UFC on FOX 21: Maia vs. Condit 2016-08-27
 Matt Brown UFC 198: Werdum vs. Miocic 2016-05-14
 Gunnar Nelson UFC 194: Aldo vs. McGregor 2015-12-12
 Neil Magny UFC 190: Rousey vs. Correia 2015-08-01
 Ryan Laflare UFC Fight Night 62: Maia vs. LaFlare 2015-03-21
 Alexander Yakovlev UFC: The Ultimate Fighter Brazil 3 Finale 2014-05-31
 Jake Shields UFC Fight Night 29: Maia vs. Shields 2013-10-09
 Rick Story UFC 153: Silva vs. Bonnar 2012-10-13
 Chris Weidman UFC on FOX 2 2012-01-28
 Jorge Santiago UFC 136: Edgar vs. Maynard 3 2011-10-08
 Mario Miranda UFC 118: Edgar vs. Penn 2 2010-08-28
",," Lyman Good UFC on ESPN+ 2: Assuncao vs. Moraes 2 2019-02-02
 Tyron Woodley UFC 214: Cormier vs. Jones 2 2017-07-29
 Rory Macdonald UFC 170: Rousey vs. McMann 2014-02-22
 Jon Fitch UFC 156: Aldo vs. Edgar 2013-02-02
 Dong Hyun Kim UFC 148: Silva vs. Sonnen 2 2012-07-07
 Mark Munoz UFC 131: Carwin vs. Dos Santos 2011-06-11
 Kendall Grove UFC: The Ultimate Fighter 12 Finale 2010-12-04
 Anderson Silva UFC 112: Invincible 2010-04-10
 Nate Marquardt UFC 102: Couture vs Nogueira 2009-08-29
 Ryan Jensen UFC 77: Hostile Territory 2007-10-20
",1.0,1,1.0
c21a036b4e012f1c,John-Makdessi-2163," Lando Vannata UFC 206: Holloway vs. Pettis 2016-12-10
"," Ross Pearson UFC on FOX 30: Alvarez vs. Poirier 2 2018-07-28
 Abel Trujillo UFC on FOX 26: Lawler vs. Dos Anjos 2017-12-16
 Mehdi Baghdad UFC Fight Night 90: Dos Anjos vs. Alvarez 2016-07-07
 Yancy Medeiros UFC 194: Aldo vs. McGregor 2015-12-12
 Shane Campbell UFC 186: Johnson vs. Horiguchi 2015-04-25
 Alan Patrick UFC 169: Barao vs. Faber 2014-02-01
 Renee Forte UFC 165: Jones vs. Gustafsson 2013-09-21
 Daron Cruickshank UFC 158: St-Pierre vs. Diaz 2013-03-16
 Anthony Njokuani UFC 145: Jones vs. Evans 2012-04-21
 Dennis Hallman UFC 140: Jones vs. Machida 2011-12-10
 Kyle Watson UFC 129: St-Pierre vs. Shields 2011-04-30
",," Donald Cerrone UFC 187: Johnson vs. Cormier 2015-05-23
 Sam Stout UFC 154: St-Pierre vs. Condit 2012-11-17
 Pat Audinwood UFC 124: St-Pierre vs. Koscheck II 2010-12-11
",1.0,1,1.0
275aca31f61ba28c,Islam-Makhachev-5541," Gleison Tibau UFC 220: Miocic vs. Ngannou 2018-01-20
"," Leo Kuntz UFC 187: Johnson vs. Cormier 2015-05-23
",," Kajan Johnson UFC on FOX 30: Alvarez vs. Poirier 2 2018-07-28
 Nik Lentz UFC 208: Holm vs. de Randamie 2017-02-11
 Chris Wade UFC Fight Night 94: Johnson vs. Poirier 2016-09-17
 Adriano Martins UFC 192: Cormier vs. Gustafsson 2015-10-03
",1.0,1,1.0
57ab4d7c0bc09a30,Zach-Makovsky-720," Dustin Ortiz UFC 206: Holloway vs. Pettis 2016-12-10
"," Tim Elliott UFC Fight Night 60: Henderson vs. Thatch 2015-02-14
 Josh Sampo UFC 170: Rousey vs. McMann 2014-02-22
",," Yoni Sherbatov ACB 72: Makovsky vs. Sherbatov 2017-10-14
 Joseph Benavidez UFC Fight Night 82: Hendricks vs. Thompson 2016-02-06
 John Dodson UFC 187: Johnson vs. Cormier 2015-05-23
 Jussier Formiga UFC Fight Night 47: Bader vs. Saint Preux 2014-08-16
 Scott Jorgensen UFC on FOX 9: Johnson vs. Benavidez 2013-12-14
 Matt Manzanares RFA 11: Manzanares vs. Makovsky 2013-11-22
 Anthony Leone Bellator Fighting Championship 83 2012-12-07
 Eduardo Dantas Bellator Fighting Championship 65 2012-04-13
 Ryan Roberts Bellator Fighting Championship 54 2011-10-15
 Chad Robichaux Bellator Fighting Championship 41 2011-04-16
 Ed West Bellator Fighting Championship 32 2010-10-14
 Bryan Goldsby Bellator Fighting Championship 30 2010-09-23
 Nick Mamalis Bellator Fighting Championships 27 2010-09-02
 Eric Luke Bellator Fighting Championships 21 2010-06-10
 Andre Soares EliteXC: Primetime 2008-05-31
",1.0,1,0.97
1fb80f46d3c105d9,Fabio-Maldonado-1479,," Corey Anderson UFC Fight Night 77: Belfort vs. Henderson 3 2015-11-07
 Hans Stringer UFC 179: Aldo vs. Mendes II 2014-10-25
 Gian Villante UFC Fight Night 38: Shogun vs. Henderson 2014-03-23
 Joey Beltran UFC Fight Night 29: Maia vs. Shields 2013-10-09
 Roger Hollett UFC on FX 8: Belfort vs. Rockhold 2013-05-18
 Kyle Kingsbury UFC: The Ultimate Fighter 13 Finale 2011-06-04
",," Nikita Krylov Fight Nights Global 87: Khachatryan vs. Queally 2018-05-19
 Kurban Omarov Fight Nights Global 73: Aliev vs. Brandao 2017-09-04
 Fedor Emelianenko Fight Nights Global 50: Emelianenko vs. Maldonado 2016-06-17
 Quinton Jackson UFC 186: Johnson vs. Horiguchi 2015-04-25
 Stipe Miocic UFC: The Ultimate Fighter Brazil 3 Finale 2014-05-31
 Glover Teixeira UFC 153: Silva vs. Bonnar 2012-10-13
 Igor Pokrajac UFC on FUEL TV 3: Korean Zombie vs. Poirier 2012-05-15
 James McSweeney UFC 120: Bisping vs. Akiyama 2010-10-16
 Travis Wiuff Bitetti Combat 5 2009-12-12
 Vitor Miranda Bitetti Combat 4 2009-09-12
",1.0,1,1.0
