,Event_Date,Event_Name,Event_ID,F1_Name,F2_Name,F1_ID,F2_ID
4522,2008-06-21,The Ultimate Fighter Finale: Team Rampage vs Team Forrest,2299605af59fd309,Spencer Fisher,Jeremy Stephens,f34312c2ccfa0e00,18968f97ad34f15c
4523,2008-10-25,UFC 90: Silva vs Cote,c670aa48827d6be6,Spencer Fisher,Shannon Gugerty,f34312c2ccfa0e00,9f1641c08cf8fbe2
4524,2009-06-13,UFC 99: The Comeback,cb6783c39c01d896,Spencer Fisher,Caol Uno,f34312c2ccfa0e00,eb1723480fa2f96c
4525,2010-06-19,The Ultimate Fighter FINALE: Team Liddell vs Team Ortiz,9bcf8603ceb25680,Spencer Fisher,Dennis Siver,f34312c2ccfa0e00,5f87a5c00b3d17ed
4526,2010-10-16,UFC 120: Bisping vs Akiyama,d512d9f204059f57,Spencer Fisher,Curt Warburton,f34312c2ccfa0e00,2721bb808bb2523c
4527,2009-05-15,Strikeforce Challengers 1,8ddf9c51c5fdea75,Spencer Hearns,Chad Sutton,d85cf12439945941,556347e2b0e33979
4528,2009-06-13,UFC 99: The Comeback,cb6783c39c01d896,Stefan Struve,Denis Stojnic,ebc1f40e00e0c481,a421465acbe59c77
4529,2009-10-24,UFC 104: Machida vs Shogun,7c0847d3854a95f2,Stefan Struve,Chase Gormley,ebc1f40e00e0c481,052ceb8976695342
4530,2009-12-12,UFC 107: Penn vs Sanchez,821cd80aab70d5f9,Stefan Struve,Paul Buentello,ebc1f40e00e0c481,f0abbb6f3444dae7
4531,2010-08-07,UFC 117: Silva vs Sonnen,2f3f12002564bb55,Stefan Struve,Christian Morecraft,ebc1f40e00e0c481,80779d7441af1b52
4532,2010-12-11,UFC 124: St-Pierre vs Koscheck 2,132f860d02953f4c,Stefan Struve,Sean McCorkle,ebc1f40e00e0c481,008dc37cca279def
4533,2011-05-28,UFC 130: Rampage vs Hamill,b732b326c362fb62,Stefan Struve,Travis Browne,ebc1f40e00e0c481,3236bf606fe9fa5b
4534,2012-02-15,UFC on FUEL TV: Sanchez vs Ellenberger,0a97691039c4bbfb,Stefan Struve,Dave Herman,ebc1f40e00e0c481,cbd6f1abf955e628
4535,2012-05-26,UFC 146: Dos Santos vs Mir,4985113c0928aa62,Stefan Struve,Lavar Johnson,ebc1f40e00e0c481,e6c5908910cc26e4
4536,2012-09-29,UFC on FUEL TV: Struve vs Miocic,6cbb7661c3258617,Stefan Struve,Stipe Miocic,ebc1f40e00e0c481,d28dee5c705991df
4537,2013-03-02,UFC on FUEL TV: Japan,83c6c3e0f8bde8ee,Stefan Struve,Mark Hunt,ebc1f40e00e0c481,eef9b891edbd4604
4538,2015-08-01,UFC 190: Rousey vs Correia,a9c45a8b21eabadc,Stefan Struve,Minotauro Nogueira,ebc1f40e00e0c481,ee9d73f4fee9cbdd
4539,2015-11-14,UFC 193: Rousey vs Holm,8d04923f2db59b7f,Stefan Struve,Jared Rosholt,ebc1f40e00e0c481,91ea901c458e95dd
4540,2016-10-08,UFC 204: Bisping vs. Henderson,154a6b3ffae264cd,Stefan Struve,Daniel Omielanczuk,ebc1f40e00e0c481,470fedbc8563ac47
4541,2018-03-03,UFC 222: Cyborg vs. Kunitskaya,7929be8290289a47,Stefan Struve,Andrei Arlovski,ebc1f40e00e0c481,3738e68d2261e60f
4542,2010-12-04,The Ultimate Fighter 12: Team GSP vs Team Koscheck,5d7bdab5e03e3216,Stephan Bonnar,Igor Pokrajac,c6a33ff198aaaeeb,53278852bcd91e11
4543,2011-11-19,UFC 139: Shogun vs Henderson,0ec821423baa26bd,Stephan Bonnar,Kyle Kingsbury,c6a33ff198aaaeeb,b959e8c7fd8390d2
4544,2013-05-25,UFC 160: Velasquez vs Silva 2,3c241737a6069b9f,Stephen Thompson,Nah-Shon Burrell,4a28cb716c19157a,2c64c035485906aa
4545,2017-11-04,UFC 217: Bisping vs. St-Pierre,a25b71fe5e31fa97,Stephen Thompson,Jorge Masvidal,4a28cb716c19157a,47b9e0e7703a4868
4546,2018-05-27,UFC Fight Night: Thompson vs. Till,f5990c11974d8e9c,Stephen Thompson,Darren Till,4a28cb716c19157a,9ce6d5a03af801b7
